#country+code,#country+name,#indicator+code,#indicator+name,#indicator+value+num,#date+year
PHL,Philippines,101006,Population in severe multidimensional poverty (%),1.27472384,2008-2019
PHL,Philippines,101406,"Literacy rate, adult (% ages 15 and older)",98.18255,2008-2018
PHL,Philippines,102006,"Population in multidimensional poverty, headcount (thousands) (for the year of the survey)",6095.803286,2008-2019
PHL,Philippines,111106,International inbound tourists (thousands),7168.0,2011-2018
PHL,Philippines,111306,Private capital flows (% of GDP),-1.609635,2010-2019
PHL,Philippines,117806,Contribution of deprivation in education to the Multidimensional Poverty Index,31.02112114,2008-2019
PHL,Philippines,117906,Contribution of deprivation in health to the Multidimensional Poverty Index,20.30709833,2008-2019
PHL,Philippines,118006,Contribution of deprivation in standard of living to the Multidimensional Poverty Index,48.67177904,2008-2019
PHL,Philippines,123506,"Estimated gross national income per capita, female (2017 PPP $)",7843.035176,2019
PHL,Philippines,123606,"Estimated gross national income per capita, male (2017 PPP $)",11694.19793,2019
PHL,Philippines,123806,Old-age pension recipients (% of statutory pension age population),64.0,2014-2019
PHL,Philippines,128106,Mandatory paid maternity leave (days),105.0,2019
PHL,Philippines,128306,"Prison population (per 100,000 people)",182.5,2013-2018
PHL,Philippines,133006,"Gross enrolment ratio, pre-primary (% of preschool-age children)",80.69254,2014-2019
PHL,Philippines,133206,Exports and imports (% of GDP),68.6069,2010-2019
PHL,Philippines,135106,"Income inequality, quintile ratio",7.166667,2010-2017
PHL,Philippines,136906,"Human Development Index (HDI), female",0.7197416,2019
PHL,Philippines,137006,"Human Development Index (HDI), male",0.714795233,2019
PHL,Philippines,137906,Gender Development Index (GDI),1.006919978,2019
PHL,Philippines,142506,Population vulnerable to multidimensional poverty (%),7.25959465,2008-2019
PHL,Philippines,147206,International student mobility (% of total tertiary enrolment),-0.23481,2010-2017
PHL,Philippines,149406,Homeless people due to natural disaster (average annual per million people),393.9104217,2009/2019
PHL,Philippines,164206,"Forest area, change (%)",26.31578947,1990/2016
PHL,Philippines,164406,Adjusted net savings (% of GNI),20.97241,2015-2018
PHL,Philippines,167106,"Population living below income poverty line, PPP $1.90 a day (%)",6.1,2008-2018
PHL,Philippines,167406,"Violence against women ever experienced, intimate partner (% of female population ages 15 and older)",14.8,2005-2019
PHL,Philippines,174206,"Total debt service (% of exports of goods, services and primary income)",8.661287,2015-2018
PHL,Philippines,174306,Fossil fuel energy consumption (% of total energy consumption),62.4349,2013-2015
PHL,Philippines,175006,Female share of employment in senior and middle management (%),29.31,2009-2019
PHL,Philippines,175206,"Antenatal care coverage, at least one visit (%)",93.8,2009-2019
PHL,Philippines,175506,"Contraceptive prevalence, any method (% of married or in-union women of reproductive age, 15–49 years)",54.1,2009-2019
PHL,Philippines,175606,"Unmet need for family planning (% of married or in-union women of reproductive age, 15–49 years)",16.7,2009-2019
PHL,Philippines,175906,"Share of graduates in science, technology, engineering and mathematics programmes at tertiary level, female (%)",17.77721,2009-2019
PHL,Philippines,177706,Survival rate to the last grade of lower secondary general education (%),88.52068,2008-2018
PHL,Philippines,178306,Gross capital formation (% of GDP),26.18969,2015-2019
PHL,Philippines,179406,Skilled labour force (% of labour force),29.87,2010-2019
PHL,Philippines,179706,Ratio of education and health expenditure to military expenditure,5.574449,2010-2017
PHL,Philippines,180706,"Share of graduates in science, technology, engineering and mathematics programmes at tertiary level, male (%)",44.26239,2009-2019
PHL,Philippines,181106,Birth registration (% under age 5),91.8,2009-2019
PHL,Philippines,181206,Proportion of births attended by skilled health personnel (%),84.4,2014-2019
PHL,Philippines,181406,"Child marriage, women married by age 18 (% of women ages 20–24 who are married or in union)",16.5,2005-2019
PHL,Philippines,182806,Population using safely managed drinking-water services (%),47.0,2017
PHL,Philippines,183206,"Overall loss in HDI value due to inequality, average annual change (%)",-0.406838996,2010/2019
PHL,Philippines,183406,"Population in multidimensional poverty, headcount (thousands) (projection for 2018)",6181.495311,2008-2019
PHL,Philippines,183506,"Share of graduates from science, technology, engineering and mathematics programmes in tertiary education who are female (%)",36.25297,2009-2019
PHL,Philippines,183706,"Share of graduates from science, technology, engineering and mathematics programmes in tertiary education who are male (%)",63.74703,2009-2019
PHL,Philippines,183806,Inequality among the poor,0.00967788,2008-2019
PHL,Philippines,184306,"Number of deaths and missing persons attributed to disasters (per 100,000 population)",0.24297,2009-2019
PHL,Philippines,186806,Average annual change in the share of bottom 40 percent (%),0.5765966,2005/2018
PHL,Philippines,186906,Income share held by poorest 40%,15.0,2010-2018
PHL,Philippines,187006,Income share held by richest 10 %,34.8,2010-2018
PHL,Philippines,194306,Share of seats held by women in local government (%),29.08,2017-2019
PHL,Philippines,195206,Population using safely managed sanitation services (%),52.0,2017
PHL,Philippines,44206,Total population (millions),123.697926,2030
PHL,Philippines,47906,Median age (years),25.687,2020
PHL,Philippines,110806,"Net migration rate (per 1,000 people)",-0.634,2020
PHL,Philippines,21806,Refugees by country of origin (thousands),0.544,2019
PHL,Philippines,23806,Population with at least some secondary education (% ages 25 and older),73.22,2019
PHL,Philippines,23906,"Population with at least some secondary education, female (% ages 25 and older)",75.59380536,2019
PHL,Philippines,24006,"Population with at least some secondary education, male (% ages 25 and older)",72.38818412,2019
PHL,Philippines,24106,"Mean years of schooling, female (years)",9.5668,2019
PHL,Philippines,24206,"Mean years of schooling, male (years)",9.2162,2019
PHL,Philippines,31706,Share of seats in parliament (% held by women),28.04878049,2019
PHL,Philippines,36806,"Adolescent birth rate (births per 1,000 women ages 15-19)",54.154,2019
PHL,Philippines,43006,Vulnerable employment (% of total employment),32.699,2019
PHL,Philippines,44206,Total population (millions),108.116622,2019
PHL,Philippines,45106,Urban population (%),47.1,2019
PHL,Philippines,48706,"Labour force participation rate (% ages 15 and older), female",46.1,2019
PHL,Philippines,48806,"Labour force participation rate (% ages 15 and older), male",73.258,2019
PHL,Philippines,49006,Sex ratio at birth (male to female births),1.06,2019
PHL,Philippines,52606,"Remittances, inflows (% of GDP)",9.3331792,2019
PHL,Philippines,53506,"Foreign direct investment, net inflows (% of GDP)",2.0296122,2019
PHL,Philippines,63106,Population ages 15–64 (millions),69.420734,2019
PHL,Philippines,64306,"Infants lacking immunization, measles (% of one-year-olds)",33.0,2019
PHL,Philippines,64406,"Infants lacking immunization, DTP (% of one-year-olds)",34.0,2019
PHL,Philippines,65606,Gross fixed capital formation (% of GDP),27.15841824,2019
PHL,Philippines,68606,Gender Inequality Index (GII),0.43,2019
PHL,Philippines,69206,Life expectancy at birth (years),71.23,2019
PHL,Philippines,69706,Expected years of schooling (years),13.14836,2019
PHL,Philippines,71406,Inequality-adjusted education index,0.609823407,2019
PHL,Philippines,71506,Inequality-adjusted life expectancy index,0.667566308,2019
PHL,Philippines,71606,Inequality-adjusted income index,0.497722725,2019
PHL,Philippines,73506,Overall loss in HDI due to inequality (%),18.24512535,2019
PHL,Philippines,101606,Inequality in education (%),10.1,2019
PHL,Philippines,101706,Inequality in income (%),28.1,2019
PHL,Philippines,101806,Inequality in life expectancy (%),15.3,2019
PHL,Philippines,103006,Mean years of schooling (years),9.393091398,2019
PHL,Philippines,103206,Life expectancy index,0.788153846,2019
PHL,Philippines,103606,Income index,0.692243011,2019
PHL,Philippines,103706,Education index,0.678335269,2019
PHL,Philippines,110906,"Unemployment, youth (% ages 15–24)",6.191,2019
PHL,Philippines,111306,Private capital flows (% of GDP),-1.609635,2019
PHL,Philippines,120606,"Life expectancy at birth, female (years)",75.505,2019
PHL,Philippines,121106,"Life expectancy at birth, male (years)",67.263,2019
PHL,Philippines,121206,Young age (0-14) dependency ratio (per 100 people ages 15-64),47.463,2019
PHL,Philippines,122006,Old-age (65 and older) dependency ratio (per 100 people ages 15-64),8.278,2019
PHL,Philippines,123306,"Expected years of schooling, female (years)",13.49941,2019
PHL,Philippines,123406,"Expected years of schooling, male (years)",12.81631,2019
PHL,Philippines,132706,Population ages 65 and older (millions),5.746391,2019
PHL,Philippines,132806,Population under age 5 (millions),10.775468,2019
PHL,Philippines,133206,Exports and imports (% of GDP),68.606906,2019
PHL,Philippines,135006,Coefficient of human inequality,17.83333333,2019
PHL,Philippines,137506,Human Development Index (HDI),0.718,2019
PHL,Philippines,138806,Inequality-adjusted HDI (IHDI),0.587,2019
PHL,Philippines,140606,"Unemployment, total (% of labour force)",2.15,2019
PHL,Philippines,146206,HDI rank,107.0,2019
PHL,Philippines,147906,Youth not in school or employment (% ages 15-24),20.253,2019
PHL,Philippines,148206,Labour force participation rate (% ages 15 and older),59.621,2019
PHL,Philippines,148306,Employment to population ratio (% ages 15 and older),58.339,2019
PHL,Philippines,150606,Employment in agriculture (% of total employment),23.405,2019
PHL,Philippines,150706,Employment in services (% of total employment),57.157,2019
PHL,Philippines,153706,Working poor at PPP$3.20 a day (% of total employment),18.265,2019
PHL,Philippines,169706,Total unemployment rate (female to male ratio),1.243380855,2019
PHL,Philippines,169806,Youth unemployment rate (female to male ratio),1.436080345,2019
PHL,Philippines,175106,"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",43.57667231,2019
PHL,Philippines,178306,Gross capital formation (% of GDP),26.189694,2019
PHL,Philippines,181606,Red List Index (value),0.67565,2019
PHL,Philippines,194506,"Gross domestic product (GDP), total (2017 PPP $ billions)",963.1218325,2019
PHL,Philippines,194906,GDP per capita (2017 PPP $),8908.175977,2019
PHL,Philippines,195706,Gross national income (GNI) per capita (constant 2017 PPP$),9777.798117,2019
PHL,Philippines,23806,Population with at least some secondary education (% ages 25 and older),73.22,2018
PHL,Philippines,23906,"Population with at least some secondary education, female (% ages 25 and older)",75.59380536,2018
PHL,Philippines,24006,"Population with at least some secondary education, male (% ages 25 and older)",72.38818412,2018
PHL,Philippines,24106,"Mean years of schooling, female (years)",9.5668,2018
PHL,Philippines,24206,"Mean years of schooling, male (years)",9.2162,2018
PHL,Philippines,31706,Share of seats in parliament (% held by women),29.11392405,2018
PHL,Philippines,36806,"Adolescent birth rate (births per 1,000 women ages 15-19)",54.93525,2018
PHL,Philippines,43006,Vulnerable employment (% of total employment),32.897,2018
PHL,Philippines,43606,"Internet users, total (% of population)",60.0548,2018
PHL,Philippines,44206,Total population (millions),106.651394,2018
PHL,Philippines,45106,Urban population (%),46.9,2018
PHL,Philippines,46006,Mobile phone subscriptions (per 100 people),110.128,2018
PHL,Philippines,48706,"Labour force participation rate (% ages 15 and older), female",45.991,2018
PHL,Philippines,48806,"Labour force participation rate (% ages 15 and older), male",73.274,2018
PHL,Philippines,52606,"Remittances, inflows (% of GDP)",9.7476598,2018
PHL,Philippines,53506,"Foreign direct investment, net inflows (% of GDP)",2.8683383,2018
PHL,Philippines,57206,"Mortality rate, infant (per 1,000 live births)",22.456852,2018
PHL,Philippines,57506,"Mortality rate, under-five (per 1,000 live births)",28.371869,2018
PHL,Philippines,57806,"Mortality rate, female adult (per 1,000 people)",130.91,2018
PHL,Philippines,57906,"Mortality rate, male adult (per 1,000 people)",235.071,2018
PHL,Philippines,58006,"HIV prevalence, adult (% ages 15-49)",0.1,2018
PHL,Philippines,61006,"Homicide rate (per 100,000 people)",6.464988165,2018
PHL,Philippines,63106,Population ages 15–64 (millions),68.165586,2018
PHL,Philippines,64306,"Infants lacking immunization, measles (% of one-year-olds)",33.0,2018
PHL,Philippines,64406,"Infants lacking immunization, DTP (% of one-year-olds)",34.0,2018
PHL,Philippines,65606,Gross fixed capital formation (% of GDP),27.283299,2018
PHL,Philippines,68606,Gender Inequality Index (GII),0.429,2018
PHL,Philippines,69206,Life expectancy at birth (years),71.095,2018
PHL,Philippines,69706,Expected years of schooling (years),12.72245333,2018
PHL,Philippines,71406,Inequality-adjusted education index,0.599215564,2018
PHL,Philippines,71506,Inequality-adjusted life expectancy index,0.665986379,2018
PHL,Philippines,71606,Inequality-adjusted income index,0.493609291,2018
PHL,Philippines,73506,Overall loss in HDI due to inequality (%),18.14345992,2018
PHL,Philippines,97306,Natural resource depletion (% of GNI),0.944005733,2018
PHL,Philippines,99106,Net official development assistance received (% of GNI),0.1408458,2018
PHL,Philippines,101606,Inequality in education (%),10.0958,2018
PHL,Philippines,101706,Inequality in income (%),28.1,2018
PHL,Philippines,101806,Inequality in life expectancy (%),15.2772,2018
PHL,Philippines,103006,Mean years of schooling (years),9.393091398,2018
PHL,Philippines,103206,Life expectancy index,0.786076923,2018
PHL,Philippines,103606,Income index,0.686521963,2018
PHL,Philippines,103706,Education index,0.666504528,2018
PHL,Philippines,110906,"Unemployment, youth (% ages 15–24)",6.603,2018
PHL,Philippines,111106,International inbound tourists (thousands),7168.0,2018
PHL,Philippines,111306,Private capital flows (% of GDP),-1.264281,2018
PHL,Philippines,120606,"Life expectancy at birth, female (years)",75.387,2018
PHL,Philippines,121106,"Life expectancy at birth, male (years)",67.123,2018
PHL,Philippines,121206,Young age (0-14) dependency ratio (per 100 people ages 15-64),48.444,2018
PHL,Philippines,122006,Old-age (65 and older) dependency ratio (per 100 people ages 15-64),8.015,2018
PHL,Philippines,123306,"Expected years of schooling, female (years)",12.9993,2018
PHL,Philippines,123406,"Expected years of schooling, male (years)",12.4404,2018
PHL,Philippines,123506,"Estimated gross national income per capita, female (2017 PPP $)",7547.163404,2018
PHL,Philippines,123606,"Estimated gross national income per capita, male (2017 PPP $)",11262.44268,2018
PHL,Philippines,128306,"Prison population (per 100,000 people)",182.5,2018
PHL,Philippines,132706,Population ages 65 and older (millions),5.463291,2018
PHL,Philippines,132806,Population under age 5 (millions),11.035292,2018
PHL,Philippines,133206,Exports and imports (% of GDP),72.163398,2018
PHL,Philippines,135006,Coefficient of human inequality,17.82433333,2018
PHL,Philippines,136906,"Human Development Index (HDI), female",0.712269685,2018
PHL,Philippines,137006,"Human Development Index (HDI), male",0.70848096,2018
PHL,Philippines,137506,Human Development Index (HDI),0.711,2018
PHL,Philippines,137906,Gender Development Index (GDI),1.005347673,2018
PHL,Philippines,138806,Inequality-adjusted HDI (IHDI),0.582,2018
PHL,Philippines,140606,"Unemployment, total (% of labour force)",2.338,2018
PHL,Philippines,146206,HDI rank,111.0,2018
PHL,Philippines,147906,Youth not in school or employment (% ages 15-24),19.89,2018
PHL,Philippines,148206,Labour force participation rate (% ages 15 and older),59.575,2018
PHL,Philippines,148306,Employment to population ratio (% ages 15 and older),58.182,2018
PHL,Philippines,150606,Employment in agriculture (% of total employment),24.293,2018
PHL,Philippines,150706,Employment in services (% of total employment),56.643,2018
PHL,Philippines,153706,Working poor at PPP$3.20 a day (% of total employment),20.203,2018
PHL,Philippines,164406,Adjusted net savings (% of GNI),20.972408,2018
PHL,Philippines,169706,Total unemployment rate (female to male ratio),1.259294118,2018
PHL,Philippines,169806,Youth unemployment rate (female to male ratio),1.426615169,2018
PHL,Philippines,170006,Concentration index (exports) (value),0.249767587,2018
PHL,Philippines,174206,"Total debt service (% of exports of goods, services and primary income)",8.6612869,2018
PHL,Philippines,175106,"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",43.69522888,2018
PHL,Philippines,176806,Programme for International Student Assessment (PISA) score in science,356.9333242,2018
PHL,Philippines,176906,Programme for International Student Assessment (PISA) score in reading,339.6915905,2018
PHL,Philippines,177006,Programme for International Student Assessment (PISA) score in mathematics,352.5670677,2018
PHL,Philippines,178306,Gross capital formation (% of GDP),27.150582,2018
PHL,Philippines,181706,Rural population with access to electricity (%),92.514802,2018
PHL,Philippines,182106,"Malaria incidence (per 1,000 people at risk)",0.17674,2018
PHL,Philippines,182206,"Tuberculosis incidence (per 100,000 people)",554.0,2018
PHL,Philippines,184306,"Number of deaths and missing persons attributed to disasters (per 100,000 population)",0.24297,2018
PHL,Philippines,194506,"Gross domestic product (GDP), total (2017 PPP $ billions)",908.2578344,2018
PHL,Philippines,194906,GDP per capita (2017 PPP $),8516.094388,2018
PHL,Philippines,195606,"Carbon dioxide emissions, production emissions per capita (tonnes)",1.266454145,2018
PHL,Philippines,195706,Gross national income (GNI) per capita (constant 2017 PPP$),9414.401189,2018
PHL,Philippines,196006,"Use of fertilizer nutrient nitrogen (N), per area of cropland (kg per hectare)",59.39,2018
PHL,Philippines,196106,"Use of fertilizer nutrient phosphorus (expressed as P2O5), per area of cropland (kg per hectare)",12.16,2018
PHL,Philippines,23806,Population with at least some secondary education (% ages 25 and older),73.22,2017
PHL,Philippines,23906,"Population with at least some secondary education, female (% ages 25 and older)",75.59380536,2017
PHL,Philippines,24006,"Population with at least some secondary education, male (% ages 25 and older)",72.38818412,2017
PHL,Philippines,24106,"Mean years of schooling, female (years)",9.5668,2017
PHL,Philippines,24206,"Mean years of schooling, male (years)",9.2162,2017
PHL,Philippines,31706,Share of seats in parliament (% held by women),29.11392405,2017
PHL,Philippines,36806,"Adolescent birth rate (births per 1,000 women ages 15-19)",55.7165,2017
PHL,Philippines,38406,Multidimensional poverty index (MPI),0.0242493,2017
PHL,Philippines,38506,"Population in multidimensional poverty, intensity of deprivation (%)",41.8382,2017
PHL,Philippines,38606,"Population in multidimensional poverty, headcount (%)",5.795982,2017
PHL,Philippines,43006,Vulnerable employment (% of total employment),34.1,2017
PHL,Philippines,43606,"Internet users, total (% of population)",60.0548,2017
PHL,Philippines,44206,Total population (millions),105.172921,2017
PHL,Philippines,45106,Urban population (%),46.7,2017
PHL,Philippines,45806,Primary school teachers trained to teach (%),100.0,2017
PHL,Philippines,46006,Mobile phone subscriptions (per 100 people),110.128,2017
PHL,Philippines,46206,"Pupil-teacher ratio, primary school (pupils per teacher)",29.08352,2017
PHL,Philippines,48706,"Labour force participation rate (% ages 15 and older), female",45.419,2017
PHL,Philippines,48806,"Labour force participation rate (% ages 15 and older), male",74.039,2017
PHL,Philippines,52606,"Remittances, inflows (% of GDP)",9.9883392,2017
PHL,Philippines,53506,"Foreign direct investment, net inflows (% of GDP)",3.1223878,2017
PHL,Philippines,57206,"Mortality rate, infant (per 1,000 live births)",22.949217,2017
PHL,Philippines,57506,"Mortality rate, under-five (per 1,000 live births)",29.052596,2017
PHL,Philippines,57806,"Mortality rate, female adult (per 1,000 people)",133.878,2017
PHL,Philippines,57906,"Mortality rate, male adult (per 1,000 people)",259.084,2017
PHL,Philippines,58006,"HIV prevalence, adult (% ages 15-49)",0.1,2017
PHL,Philippines,61006,"Homicide rate (per 100,000 people)",8.391893955,2017
PHL,Philippines,63106,Population ages 15–64 (millions),66.884609,2017
PHL,Philippines,63206,"Gross enrolment ratio, primary (% of primary school-age population)",107.50977,2017
PHL,Philippines,63306,"Gross enrolment ratio, secondary (% of secondary school-age population)",86.16291,2017
PHL,Philippines,63406,"Gross enrolment ratio, tertiary (% of tertiary school-age population)",35.47546,2017
PHL,Philippines,64306,"Infants lacking immunization, measles (% of one-year-olds)",27.0,2017
PHL,Philippines,64406,"Infants lacking immunization, DTP (% of one-year-olds)",28.0,2017
PHL,Philippines,65606,Gross fixed capital formation (% of GDP),25.64292819,2017
PHL,Philippines,68606,Gender Inequality Index (GII),0.432,2017
PHL,Philippines,69206,Life expectancy at birth (years),70.952,2017
PHL,Philippines,69706,Expected years of schooling (years),12.72245333,2017
PHL,Philippines,71406,Inequality-adjusted education index,0.588214341,2017
PHL,Philippines,71506,Inequality-adjusted life expectancy index,0.670998646,2017
PHL,Philippines,71606,Inequality-adjusted income index,0.49776192,2017
PHL,Philippines,73506,Overall loss in HDI due to inequality (%),17.93785311,2017
PHL,Philippines,89006,"Maternal mortality ratio (deaths per 100,000 live births)",121.0,2017
PHL,Philippines,97106,Fresh water withdrawals (% of total renewable water resources),19.36,2017
PHL,Philippines,97306,Natural resource depletion (% of GNI),0.786341852,2017
PHL,Philippines,99106,Net official development assistance received (% of GNI),0.04400103,2017
PHL,Philippines,101006,Population in severe multidimensional poverty (%),1.274724,2017
PHL,Philippines,101606,Inequality in education (%),11.6,2017
PHL,Philippines,101706,Inequality in income (%),26.8,2017
PHL,Philippines,101806,Inequality in life expectancy (%),14.4,2017
PHL,Philippines,102006,"Population in multidimensional poverty, headcount (thousands) (for the year of the survey)",6096.0,2017
PHL,Philippines,103006,Mean years of schooling (years),9.359980699,2017
PHL,Philippines,103206,Life expectancy index,0.783876923,2017
PHL,Philippines,103606,Income index,0.680002623,2017
PHL,Philippines,103706,Education index,0.665400838,2017
PHL,Philippines,110906,"Unemployment, youth (% ages 15–24)",7.412,2017
PHL,Philippines,111106,International inbound tourists (thousands),6621.0,2017
PHL,Philippines,111306,Private capital flows (% of GDP),-1.369138,2017
PHL,Philippines,117806,Contribution of deprivation in education to the Multidimensional Poverty Index,31.02112,2017
PHL,Philippines,117906,Contribution of deprivation in health to the Multidimensional Poverty Index,20.3071,2017
PHL,Philippines,118006,Contribution of deprivation in standard of living to the Multidimensional Poverty Index,48.67178,2017
PHL,Philippines,120606,"Life expectancy at birth, female (years)",75.268,2017
PHL,Philippines,121106,"Life expectancy at birth, male (years)",66.971,2017
PHL,Philippines,121206,Young age (0-14) dependency ratio (per 100 people ages 15-64),49.482,2017
PHL,Philippines,122006,Old-age (65 and older) dependency ratio (per 100 people ages 15-64),7.763,2017
PHL,Philippines,123306,"Expected years of schooling, female (years)",12.8765,2017
PHL,Philippines,123406,"Expected years of schooling, male (years)",12.3198,2017
PHL,Philippines,123506,"Estimated gross national income per capita, female (2017 PPP $)",7154.578892,2017
PHL,Philippines,123606,"Estimated gross national income per capita, male (2017 PPP $)",10858.26203,2017
PHL,Philippines,132706,Population ages 65 and older (millions),5.192489,2017
PHL,Philippines,132806,Population under age 5 (millions),11.309964,2017
PHL,Philippines,133006,"Gross enrolment ratio, pre-primary (% of preschool-age children)",80.69254,2017
PHL,Philippines,133206,Exports and imports (% of GDP),68.16837,2017
PHL,Philippines,135006,Coefficient of human inequality,17.6,2017
PHL,Philippines,136906,"Human Development Index (HDI), female",0.707604595,2017
PHL,Philippines,137006,"Human Development Index (HDI), male",0.70471728,2017
PHL,Philippines,137506,Human Development Index (HDI),0.708,2017
PHL,Philippines,137906,Gender Development Index (GDI),1.004097125,2017
PHL,Philippines,138806,Inequality-adjusted HDI (IHDI),0.581,2017
PHL,Philippines,140606,"Unemployment, total (% of labour force)",2.552,2017
PHL,Philippines,142506,Population vulnerable to multidimensional poverty (%),7.259594,2017
PHL,Philippines,147906,Youth not in school or employment (% ages 15-24),21.699,2017
PHL,Philippines,148206,Labour force participation rate (% ages 15 and older),59.669,2017
PHL,Philippines,148306,Employment to population ratio (% ages 15 and older),58.146,2017
PHL,Philippines,150606,Employment in agriculture (% of total employment),25.44,2017
PHL,Philippines,150706,Employment in services (% of total employment),56.288,2017
PHL,Philippines,153706,Working poor at PPP$3.20 a day (% of total employment),22.545,2017
PHL,Philippines,164406,Adjusted net savings (% of GNI),23.303844,2017
PHL,Philippines,169706,Total unemployment rate (female to male ratio),1.098820659,2017
PHL,Philippines,169806,Youth unemployment rate (female to male ratio),1.341319181,2017
PHL,Philippines,170006,Concentration index (exports) (value),0.24175764,2017
PHL,Philippines,174206,"Total debt service (% of exports of goods, services and primary income)",11.448931,2017
PHL,Philippines,175106,"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",43.33465372,2017
PHL,Philippines,175206,"Antenatal care coverage, at least one visit (%)",93.8,2017
PHL,Philippines,175506,"Contraceptive prevalence, any method (% of married or in-union women of reproductive age, 15–49 years)",54.1,2017
PHL,Philippines,175606,"Unmet need for family planning (% of married or in-union women of reproductive age, 15–49 years)",16.7,2017
PHL,Philippines,175706,Women with account at financial institution or with mobile money-service provider (% of female population ages 15 and older),38.85416412,2017
PHL,Philippines,175906,"Share of graduates in science, technology, engineering and mathematics programmes at tertiary level, female (%)",17.77721,2017
PHL,Philippines,178306,Gross capital formation (% of GDP),25.558774,2017
PHL,Philippines,180706,"Share of graduates in science, technology, engineering and mathematics programmes at tertiary level, male (%)",44.26239,2017
PHL,Philippines,181206,Proportion of births attended by skilled health personnel (%),84.4,2017
PHL,Philippines,181706,Rural population with access to electricity (%),90.023167,2017
PHL,Philippines,181806,Current health expenditure (% of GDP),4.446408,2017
PHL,Philippines,182106,"Malaria incidence (per 1,000 people at risk)",0.30592,2017
PHL,Philippines,182206,"Tuberculosis incidence (per 100,000 people)",554.0,2017
PHL,Philippines,182806,Population using safely managed drinking-water services (%),47.0,2017
PHL,Philippines,183406,"Population in multidimensional poverty, headcount (thousands) (projection for 2018)",6181.0,2017
PHL,Philippines,183506,"Share of graduates from science, technology, engineering and mathematics programmes in tertiary education who are female (%)",36.25297,2017
PHL,Philippines,183706,"Share of graduates from science, technology, engineering and mathematics programmes in tertiary education who are male (%)",63.74703,2017
PHL,Philippines,183806,Inequality among the poor,0.0096779,2017
PHL,Philippines,183906,"Labour share of GDP, comprising wages and social protection transfers (%)",26.60000038,2017
PHL,Philippines,184306,"Number of deaths and missing persons attributed to disasters (per 100,000 population)",0.38537,2017
PHL,Philippines,186706,"Carbon dioxide emissions, per unit of GDP (kg per 2010 US$ of GDP)",0.16192,2017
PHL,Philippines,194506,"Gross domestic product (GDP), total (2017 PPP $ billions)",854.0954921,2017
PHL,Philippines,194906,GDP per capita (2017 PPP $),8120.842309,2017
PHL,Philippines,195206,Population using safely managed sanitation services (%),52.0,2017
PHL,Philippines,195606,"Carbon dioxide emissions, production emissions per capita (tonnes)",1.245795912,2017
PHL,Philippines,195706,Gross national income (GNI) per capita (constant 2017 PPP$),9016.732787,2017
PHL,Philippines,195906,"Domestic material consumption per capita, (tonnes)",3.97023,2017
PHL,Philippines,196006,"Use of fertilizer nutrient nitrogen (N), per area of cropland (kg per hectare)",69.59,2017
PHL,Philippines,196106,"Use of fertilizer nutrient phosphorus (expressed as P2O5), per area of cropland (kg per hectare)",19.06,2017
PHL,Philippines,23806,Population with at least some secondary education (% ages 25 and older),73.22,2016
